,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.46,-114.35,-11.99,75,20,2.24,few clouds
1,Lagoa,PT,39.05,-27.98,55.9,66,51,27.51,broken clouds
2,Kapaa,US,22.08,-159.32,71.6,64,40,10.29,scattered clouds
3,Mehamn,NO,71.04,27.85,35.04,84,100,13.31,overcast clouds
4,Hommelvik,NO,63.41,10.79,27.0,92,0,1.12,clear sky
5,Esperance,AU,-33.87,121.9,51.8,76,0,4.7,clear sky
6,Port Alfred,ZA,-33.59,26.89,67.77,78,73,12.17,light rain
7,Verkhnyaya Inta,RU,65.98,60.31,9.91,94,90,9.66,overcast clouds
8,Hobart,AU,-42.88,147.33,59.0,72,90,8.05,light intensity shower rain
9,Ushuaia,AR,-54.8,-68.3,42.8,75,40,14.99,scattered clouds
10,Puerto Ayora,EC,-0.74,-90.35,77.0,73,75,14.99,broken clouds
11,Hithadhoo,MV,-0.6,73.08,81.91,75,81,8.61,broken clouds
12,Kavieng,PG,-2.57,150.8,82.69,82,99,15.12,light rain
13,Pulandian,CN,39.4,121.97,28.4,54,75,2.24,broken clouds
14,Deputatskiy,RU,69.3,139.9,-8.14,93,91,2.46,overcast clouds
15,Jamestown,US,42.1,-79.24,39.0,69,90,10.29,overcast clouds
16,San Vicente,AR,-26.62,-54.13,95.31,29,11,4.94,few clouds
17,Kahului,US,20.89,-156.47,71.6,78,75,6.93,light rain
18,Baruun-Urt,MN,46.68,113.28,-0.11,87,2,4.7,clear sky
19,Busselton,AU,-33.65,115.33,48.0,89,69,7.99,broken clouds
20,Paamiut,GL,61.99,-49.67,32.31,97,100,17.38,light snow
21,Punta Arenas,CL,-53.15,-70.92,44.6,65,75,13.87,broken clouds
22,Cidreira,BR,-30.18,-50.21,76.89,76,92,18.39,light rain
23,Georgetown,MY,5.41,100.34,77.0,94,20,5.88,few clouds
24,Rikitea,PF,-23.12,-134.97,76.39,83,98,13.04,overcast clouds
25,Srednekolymsk,RU,67.45,153.68,-4.29,92,95,4.79,overcast clouds
26,Diamantino,BR,-14.41,-56.45,94.17,37,75,6.29,broken clouds
27,Talara,PE,-4.58,-81.27,80.6,57,0,12.75,clear sky
28,Vezirkopru,TR,41.14,35.45,37.4,51,0,2.24,clear sky
29,Bluff,NZ,-46.6,168.33,52.0,80,69,11.99,broken clouds
30,Ilulissat,GL,69.22,-51.1,10.4,51,20,4.7,few clouds
31,Shelburne,CA,44.08,-80.2,41.0,83,15,14.43,few clouds
32,Nikolskoye,RU,59.7,30.79,33.8,80,90,11.18,overcast clouds
33,San Matias,BO,-16.37,-58.4,103.86,21,10,8.46,clear sky
34,Avarua,CK,-21.21,-159.78,77.0,88,61,10.29,broken clouds
35,Kruisfontein,ZA,-34.0,24.73,63.0,93,91,1.99,light rain
36,Tabou,CI,4.42,-7.35,81.99,73,14,7.63,few clouds
37,Saint George,US,37.1,-113.58,30.2,46,1,4.7,clear sky
38,Pisco,PE,-13.7,-76.22,69.8,73,0,10.29,clear sky
39,Beringovskiy,RU,63.05,179.32,10.13,95,86,15.1,overcast clouds
40,Sherlovaya Gora,RU,50.57,116.25,-2.09,93,0,3.33,clear sky
41,New Norfolk,AU,-42.78,147.06,57.99,73,100,2.35,moderate rain
42,Albany,US,42.6,-73.97,50.0,66,87,11.07,overcast clouds
43,Avera,US,33.19,-82.53,57.2,84,90,5.82,haze
44,Remanso,BR,-9.62,-42.08,85.37,46,84,9.28,broken clouds
45,Mar Del Plata,AR,-38.0,-57.56,84.2,54,90,12.75,overcast clouds
46,Golkoy,TR,40.69,37.62,48.2,87,0,2.24,clear sky
47,Vaini,TO,-21.2,-175.2,75.2,94,40,5.82,scattered clouds
48,Mandalay,MM,21.97,96.08,68.63,75,40,0.83,scattered clouds
49,Cuamba,MZ,-14.8,36.54,85.66,33,97,2.95,overcast clouds
50,Cape Town,ZA,-33.93,18.42,70.0,63,20,25.28,few clouds
51,Chokurdakh,RU,70.63,147.92,-9.09,92,100,6.58,overcast clouds
52,Hami,CN,42.8,93.45,23.68,80,24,3.49,few clouds
53,Mount Gambier,AU,-37.83,140.77,55.4,93,90,17.22,overcast clouds
54,Hamilton,US,39.18,-84.53,46.0,65,20,2.66,few clouds
55,Butaritari,KI,3.07,172.79,81.72,81,21,17.69,few clouds
56,Faya,SA,18.39,42.45,62.6,82,0,3.36,clear sky
57,Ahipara,NZ,-35.17,173.17,56.08,73,57,6.42,broken clouds
58,Great Yarmouth,GB,52.61,1.73,48.99,93,90,4.7,haze
59,Tiksi,RU,71.69,128.87,-2.36,91,42,8.99,scattered clouds
60,Malanje,AO,-9.54,16.34,68.18,94,99,4.16,moderate rain
61,Vao,NC,-22.67,167.48,71.78,67,6,14.45,clear sky
62,Atuona,PF,-9.8,-139.03,79.2,72,1,20.89,clear sky
63,Daru,PG,-9.08,143.21,78.76,79,87,5.48,overcast clouds
64,Salalah,OM,17.02,54.09,78.8,65,40,3.36,scattered clouds
65,Mataura,NZ,-46.19,168.86,52.0,80,45,11.99,light rain
66,Pathein,MM,16.78,94.73,71.58,78,0,3.22,clear sky
67,Hualmay,PE,-11.1,-77.61,72.1,61,71,11.21,broken clouds
68,Stokmarknes,NO,68.56,14.91,43.0,88,100,15.01,light rain
69,Djambala,CG,-2.54,14.75,71.19,90,98,1.45,light rain
70,Lebu,CL,-37.62,-73.65,60.26,78,91,8.08,overcast clouds
71,Jacmel,HT,18.23,-72.53,86.0,51,20,5.82,few clouds
72,Castro,BR,-24.79,-50.01,84.36,43,6,0.92,clear sky
73,East London,ZA,-33.02,27.91,71.6,68,0,9.17,clear sky
74,Manali,IN,13.17,80.27,80.6,94,75,2.24,broken clouds
75,Hilo,US,19.73,-155.09,66.2,82,1,5.82,clear sky
76,Ust-Kut,RU,56.79,105.77,4.23,91,92,1.99,overcast clouds
77,Viedma,AR,-40.81,-63.0,82.0,34,36,3.0,scattered clouds
78,Bullhead City,US,35.15,-114.57,55.99,29,5,13.87,clear sky
79,Gamba,GA,-2.65,10.0,77.13,86,35,5.99,scattered clouds
80,Ogdensburg,US,44.69,-75.49,41.0,93,90,8.05,overcast clouds
81,Narsaq,GL,60.92,-46.05,33.8,80,75,12.75,broken clouds
82,Arraial Do Cabo,BR,-22.97,-42.03,84.2,69,20,20.8,few clouds
83,Nanortalik,GL,60.14,-45.24,34.54,88,100,15.68,light snow
84,Ribeira Grande,PT,38.52,-28.7,57.2,58,40,6.93,scattered clouds
85,Tomatlan,MX,19.93,-105.25,87.78,57,11,1.03,few clouds
86,Noumea,NC,-22.28,166.46,66.2,77,0,3.36,clear sky
87,Kismayo,SO,-0.36,42.55,81.23,79,58,11.74,broken clouds
88,Port Hawkesbury,CA,45.62,-61.35,46.0,93,90,6.93,overcast clouds
89,Touros,BR,-5.2,-35.46,86.0,58,40,20.8,scattered clouds
90,Cabedelo,BR,-6.98,-34.83,86.0,58,40,18.34,scattered clouds
91,Ponta Do Sol,PT,32.67,-17.1,63.0,59,40,19.46,scattered clouds
92,Gigmoto,PH,13.78,124.39,79.72,85,79,13.02,broken clouds
93,Lata,PT,40.16,-8.33,55.99,80,96,8.99,overcast clouds
94,Gulariya,NP,28.23,81.33,60.17,46,0,1.61,clear sky
95,Barrow,US,71.29,-156.79,8.6,78,90,8.05,overcast clouds
96,Bethel,US,41.37,-73.41,52.0,57,40,10.29,scattered clouds
97,Huarmey,PE,-10.07,-78.15,73.02,60,52,12.46,broken clouds
98,Thunder Bay,CA,48.4,-89.32,36.0,74,75,8.05,broken clouds
99,Nuuk,GL,64.18,-51.72,24.8,68,40,4.7,scattered clouds
100,Emporia,US,38.4,-96.18,46.4,61,1,8.05,clear sky
101,Hecun,CN,36.53,114.11,32.16,90,2,2.77,clear sky
102,Griffith,US,41.53,-87.42,41.0,64,1,9.17,clear sky
103,General Roca,AR,-39.03,-67.58,82.4,24,0,5.82,clear sky
104,Belyy Yar,RU,53.6,91.39,14.0,85,90,2.24,light snow
105,Praia Da Vitoria,PT,38.73,-27.07,55.99,66,75,26.37,light intensity shower rain
106,Natal,BR,-5.79,-35.21,86.0,55,75,26.4,broken clouds
107,Thompson,CA,55.74,-97.86,12.2,92,90,2.24,light snow
108,Ahuimanu,US,21.44,-157.84,73.99,68,20,6.93,few clouds
109,Bredasdorp,ZA,-34.53,20.04,68.0,60,43,10.29,scattered clouds
110,Souillac,MU,-20.52,57.52,75.2,78,40,11.52,scattered clouds
111,Papara,BR,-3.98,-38.73,86.0,55,20,21.92,few clouds
112,Victoria,HK,22.29,114.16,69.01,66,0,10.74,clear sky
113,Payo,ID,-3.75,103.64,71.62,95,100,0.54,light rain
114,Lashio,MM,22.93,97.75,57.69,94,39,1.48,scattered clouds
115,San Patricio,US,28.02,-97.52,70.0,100,90,20.8,heavy intensity rain
116,Antofagasta,CL,-23.65,-70.4,69.8,56,0,11.41,clear sky
117,Port Hardy,CA,50.7,-127.42,42.8,86,40,6.93,scattered clouds
118,Tuktoyaktuk,CA,69.45,-133.04,6.8,84,90,4.7,light snow
119,Nemours,FR,48.28,2.69,48.2,70,0,4.7,clear sky
120,Sitka,US,57.05,-135.33,39.2,80,90,24.16,light rain
121,Guerrero Negro,MX,27.98,-114.06,63.19,38,55,1.3,broken clouds
122,Cockburn Town,TC,21.46,-71.14,78.15,67,2,10.45,clear sky
123,Mahebourg,MU,-20.41,57.7,75.2,78,40,12.03,scattered clouds
124,Angoche,MZ,-16.23,39.91,80.13,82,5,7.18,clear sky
125,Kathu,TH,7.92,98.33,77.0,94,75,2.24,broken clouds
126,Fukue,JP,32.69,128.84,51.51,64,54,15.1,broken clouds
127,Marzuq,YE,14.4,46.47,65.79,76,0,6.42,clear sky
128,Verkh-Usugli,RU,52.7,115.17,2.32,90,7,3.29,clear sky
129,Caravelas,BR,-17.71,-39.25,81.93,64,14,9.24,few clouds
130,Vila,PT,42.03,-8.16,54.0,76,88,6.2,overcast clouds
131,Acajutla,SV,13.59,-89.83,82.4,54,0,4.7,clear sky
132,Hermanus,ZA,-34.42,19.23,68.0,59,10,4.0,clear sky
133,Sola,VU,-13.88,167.55,77.0,100,90,15.32,overcast clouds
134,Olafsvik,IS,64.89,-23.71,35.83,84,100,14.2,overcast clouds
135,Nara,JP,34.69,135.8,48.99,68,77,2.21,broken clouds
136,Port Elizabeth,ZA,-33.92,25.57,64.4,93,90,8.05,overcast clouds
137,Kenai,US,60.55,-151.26,32.0,86,1,20.8,clear sky
138,Kaeo,NZ,-35.1,173.78,48.0,92,41,1.99,scattered clouds
139,Airai,TL,-8.93,125.41,62.71,100,100,1.34,overcast clouds
140,Batagay-Alyta,RU,67.8,130.41,-2.88,85,82,2.75,broken clouds
141,Tiznit,MA,29.58,-9.5,58.08,65,17,8.86,few clouds
142,Cherskiy,RU,68.75,161.3,-3.73,92,100,4.52,overcast clouds
143,Mattru,SL,7.62,-11.83,79.95,87,88,3.67,light rain
144,Ostrovnoy,RU,68.05,39.51,29.5,95,88,26.26,overcast clouds
145,Gobabis,NA,-22.45,18.97,84.2,37,89,8.05,overcast clouds
146,Upernavik,GL,72.79,-56.15,-0.58,72,77,6.78,broken clouds
147,Rio Gallegos,AR,-51.62,-69.22,53.6,25,75,27.51,broken clouds
148,Ghanzi,BW,-21.57,21.78,84.24,35,67,6.44,broken clouds
149,Alofi,NU,-19.06,-169.92,75.2,100,100,6.93,light rain
150,Nome,US,64.5,-165.41,24.8,68,90,11.41,overcast clouds
151,Dikson,RU,73.51,80.55,28.56,99,100,27.72,light snow
152,Shakhtinsk,KZ,49.71,72.59,19.4,79,75,2.24,light snow
153,Masuguru,TZ,-11.37,38.42,79.12,72,71,4.94,light rain
154,Fortuna,US,40.6,-124.16,46.99,100,1,3.36,clear sky
155,Varhaug,NO,58.61,5.65,42.8,75,75,12.75,light rain
156,Coihaique,CL,-45.58,-72.07,53.6,40,75,11.41,shower rain
157,Zhigansk,RU,66.77,123.37,-5.28,91,88,12.19,overcast clouds
158,Tuatapere,NZ,-46.13,167.68,52.0,81,47,11.99,scattered clouds
159,Padang,ID,-0.95,100.35,77.27,80,100,4.05,heavy intensity rain
160,Tasiilaq,GL,65.61,-37.64,14.0,47,20,1.12,few clouds
161,Northam,GB,51.03,-4.22,53.01,98,100,1.01,overcast clouds
162,Abbeville,FR,50.1,1.83,46.0,82,0,7.63,clear sky
163,Kavaratti,IN,10.57,72.64,82.83,68,68,7.07,broken clouds
164,Dunedin,NZ,-45.87,170.5,52.0,85,67,1.99,broken clouds
165,Oistins,BB,13.07,-59.53,86.0,74,20,14.99,few clouds
